file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,67,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,0,0
style.css,68,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,0,0
style.css,69,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,0,4
style.css,70,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,1,23
style.css,71,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,1,14
style.css,72,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,1,42
style.css,73,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,1,12
style.css,74,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,17
style.css,75,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,16
style.css,76,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,0
style.css,77,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,0
style.css,78,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,3
style.css,79,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,39
style.css,80,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,43
style.css,81,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,12
style.css,82,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,9
style.css,83,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,20
style.css,84,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,17
style.css,85,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,17
style.css,86,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,16
style.css,87,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,11
style.css,88,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,0
style.css,89,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,0
style.css,90,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,5
style.css,91,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,20
style.css,92,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,13
style.css,93,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,19
style.css,94,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,19
style.css,95,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,26
style.css,96,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,0
style.css,97,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,0
style.css,98,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,11
style.css,99,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,10
style.css,100,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,13
style.css,101,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,20
style.css,102,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,0
style.css,103,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,0
style.css,104,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,13
style.css,105,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,16
style.css,106,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,0
style.css,107,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,0
style.css,108,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,11
style.css,109,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,69
style.css,110,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,0
style.css,111,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,0
style.css,112,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,13
style.css,113,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,17
style.css,114,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,8
style.css,115,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,10
